Filing_Date,Buyer,Seller,Contract_Type,Base_Contract_Date,Transaction_Conf_Agreement_Date,Supply_Period_Value,Supply_Period_Unit,Supply_Period_Notes,Annual_Contract_Quantity_MMBtu_Numeric,Annual_Contract_Quantity_Notes,Take_or_Pay,LNG_Project,DOE_FE_Docket_Nos,DOE_FE_Order_Nos,Notes
2024-10-31,"Corpus Christi Liquefaction, LLC (""CCL"")",Kinder Morgan Tejas Pipeline LLC,Gas Supply Agreement (NAESB + TC),2020-06-01,2024-10-18,4,years,,185000000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, ..., 18-78-LNG, 23-46-LNG","3164, ..., 4490, 5019",
2022-12-07,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC",Gas Supply Agreement (NAESB + TC),2013-11-01,2022-11-10,5,years,,180000000,"Approx. 180M (yrs 1-4), 90M (yr 5)",Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2020-01-20,"Sabine Pass Liquefaction, LLC (""SPL"")",Scona LLC,Gas Supply Agreement,N/A,2020-01-07,10,years,,155000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")",Apache Corporation,Gas Sales Agreement (NAESB + TC),2016-12-07,2017-11-06,7,years,,127750000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary (for the other of two Apache TCs dated 2017-11-06). This is the one assigned to Chevron.
2022-03-11,"Corpus Christi Liquefaction Stage III, LLC","EOG Resources, Inc.",Amended & Restated Gas Supply Agreement (2x),N/A,2022-02-23,15,years,,110000000,"GSA1: Approx. 110,000,000; GSA2: Approx. 153,000,000",Standard Yes,CCL Stage III,18-78-LNG,"4277, 4490","Two A&R GSAs. Amends & restates two GSAs from 2019-09-12. Total for EOG now 263,000,000 MMBtu/yr."
2019-09-16,"Sabine Pass Liquefaction, LLC (""SPL"")","Ascent Resources – Utica, LLC",Gas Sales Agreement (NAESB + TC),2014-04-15,2019-08-27,10,years,Approx.,92000000,"Approx. 92,000,000 (first 5 yrs), 46,000,000 (final 5 yrs). TC amends & restates 2018-06-06 TC.",Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, 13-30-LNG, 13-42-LNG, 13-121-LNG, 14-92-LNG, 15-63-LNG","2833, 2961-A, 3306, 3307, 3384, 3595, 3669, 3792, 3306-A, 3307-A, 3384-A & 3669-B",Non-redacted copy of earlier 2018-06-06 TC also submitted.
2024-03-19,"Venture Global Plaquemines LNG, LLC",Tenaska Marketing Ventures,NAESB Base Contract + TC,,2024-02-26,3,years,,91250000,,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract previously executed.
2024-04-30,"Sabine Pass Liquefaction, LLC (""SPL"")",Kaiser Marketing Appalachian LLC,Gas Supply Agreement (NAESB + TC),2015-07-31,2024-04-16,2.5,years,Approx.,75000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520, 4800",
2024-11-20,"Venture Global Calcasieu Pass, LLC",TC Energy Marketing Inc.,NAESB Base Contract + TC,,2024-10-22,5,years,Subject to CPs,73000000,Buyer can modify,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",Base contract date not specified in summary.
2024-11-20,"Venture Global Plaquemines LNG, LLC",TC Energy Marketing Inc.,NAESB Base Contract + TC,,2024-10-22,5,years,Subject to CPs,73000000,Buyer can modify,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract previously executed.
