id,rate_avg_kg_hr,rate_detected_kg_hr,plume_count,timestamp_min,timestamp_max,latitude,longitude,nearest_well_api,nearest_well_operator,operator_number,distance_to_nearest_well_km,total_wells_within_500m,operator_wells_within_500m,confidence_score,purchaser_names
CH4_1B2_250m_-103.32715_31.87135?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,331.80139987566906,663.6,1,2025-08-29,2025-08-29,31.87135,-103.32715,301-34009,OXY USA WTP LP,630555,0.12,5,1,48.9,"[255104] ETC TEXAS P/L, LTD; [252017] ENERGY TRANSFER COMPANY"
CH4_1B2_250m_-103.85874_31.87300?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,923.0056677539518,1153.76,7,2025-01-29,2025-08-27,31.873,-103.85874,389-676,SNOW OIL & GAS INC.,798635,0.33,1,1,76.7,NULL
CH4_1B2_250m_-103.86808_31.99350?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,223.55277862518278,670.66,1,2025-08-27,2025-08-27,31.9935,-103.86808,301-31513,"WPX ENERGY PERMIAN, LLC",942623,0.25,4,4,79.2,"[101271] DELAWARE BASIN MIDSTREAM LLC; [211476] DELAWARE BASIN MIDSTREAM, LLC; [255104] ETC TEXAS P/L, LTD; [211538] DELAWARE G&P LLC; [558223] MEDALLION DELAWARE BASIN, LLC; [816097] STATELINE PROCESSING, LLC; [100883] ET GATHERING & PROCESSING LLC; [698769] REGENCY FIELD SERVICES LLC; [616195] NUEVO MIDSTREAM, LLC"
CH4_1B2_250m_-103.85843_31.91577?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,166.59766350885224,416.49,2,2025-01-29,2025-08-27,31.91577,-103.85843,301-31839,MEWBOURNE OIL COMPANY,562560,0.32,1,1,77.7,"[211476] DELAWARE BASIN MIDSTREAM, LLC; [616195] NUEVO MIDSTREAM, LLC"
CH4_1B2_250m_-103.89468_31.86889?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,138.5128833873574,415.54,1,2025-08-27,2025-08-27,31.86889,-103.89468,389-34315,BPX OPERATING COMPANY,85408,0.13,2,1,63.0,"[252017] ENERGY TRANSFER COMPANY; [85349] BP ENERGY CO.; [139683] CASTLETON COMMOD MERCH TRDG L.P.; [698769] REGENCY FIELD SERVICES LLC; [153428] CIMA ENERGY, LTD."
CH4_1B2_250m_-104.05251_31.91940?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,137.87592292092702,275.75,3,2025-07-04,2025-08-27,31.9194,-104.05251,109-32380,"ANTELOPE ENERGY PARTNERS, LLC",101239,0.23,4,4,81.0,"[680260] PRODUCERS GAS GATHERING JV; [101271] DELAWARE BASIN MIDSTREAM LLC; [211476] DELAWARE BASIN MIDSTREAM, LLC"
CH4_1B2_250m_-103.86837_31.93784?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,118.17979485157308,354.54,1,2025-08-27,2025-08-27,31.93784,-103.86837,301-32216,"WPX ENERGY PERMIAN, LLC",942623,0.44,2,1,41.2,"[211476] DELAWARE BASIN MIDSTREAM, LLC; [255104] ETC TEXAS P/L, LTD; [558223] MEDALLION DELAWARE BASIN, LLC; [211538] DELAWARE G&P LLC; [816097] STATELINE PROCESSING, LLC; [616195] NUEVO MIDSTREAM, LLC"
CH4_1B2_250m_-103.84623_31.89895?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,88.53404562991983,354.14,1,2025-08-27,2025-08-27,31.89895,-103.84623,301-31198,"WPX ENERGY PERMIAN, LLC",942623,0.17,4,4,85.4,"[558223] MEDALLION DELAWARE BASIN, LLC; [148113] CHEVRON U. S. A. INC.; [509364] LOUIS DREYFUS ENERGY SERVICES LP; [144535] CHAPARRAL ENERGY, L.L.C."
CH4_1B2_250m_-103.95751_31.89095?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,86.46484227828951,259.39,1,2025-08-27,2025-08-27,31.89095,-103.95751,389-38558,"JAMMIN RESOURCES, LLC",101971,0.18,4,1,47.2,NULL
CH4_1B2_250m_-104.06178_31.86691?bbox=-106.65&bbox=25.84&bbox=-93.51&bbox=36.5&datetime=2025-01-01T00%3A00%3A00Z%2F..&plume_gas=CH4,81.36748361471886,325.47,1,2025-08-27,2025-08-27,31.86691,-104.06178,109-32908,"ANTELOPE ENERGY PARTNERS, LLC",101239,0.13,1,1,90.7,NULL
